[10:06:46] Conectando...
[10:06:49] Actualizando opcode...
[10:07:01] Barrido 5 MACD x 3 EMA | exp 5m (h=1) | 50 reales + 182 OTC
[10:07:01] [1/232] EURUSD (real, cache, 9002 velas)
[10:07:01] [2/232] NZDUSD (real, cache, 9002 velas)
[10:07:01] [3/232] EURGBP (real, cache, 9002 velas)
[10:07:02] [4/232] EURJPY (real, cache, 9002 velas)
[10:07:02] [5/232] BTCUSD (real, cache, 9000 velas)
[10:07:02] [6/232] GBPUSD (real, cache, 9002 velas)
[10:07:02] [7/232] AUDCAD (real, cache, 9002 velas)
[10:07:03] [8/232] XAUUSD (real, cache, 9001 velas)
[10:07:03] [9/232] GBPCHF (real, cache, 9002 velas)
[10:07:03] [10/232] USDJPY (real, cache, 9002 velas)
[10:07:03] [11/232] EURCHF (real, cache, 9002 velas)
[10:07:04] [12/232] AUDJPY (real, cache, 9002 velas)
[10:07:04] [13/232] GBPJPY (real, cache, 5000 velas)
[10:07:04] [14/232] AUDUSD (real, cache, 9002 velas)
[10:07:04] [15/232] APPLE (real, cache, 7466 velas)
[10:07:04] [16/232] CITI (real, cache, 3042 velas)
[10:07:04] [17/232] MSFT (real, cache, 7467 velas)
[10:07:04] [18/232] COKE (real, cache, 3042 velas)
[10:07:05] [19/232] CISCO (real, cache, 3042 velas)
[10:07:05] [20/232] GOOGLE (real, cache, 7467 velas)
[10:07:05] [21/232] AUDCHF (real, cache, 9002 velas)
[10:07:06] [22/232] EURNZD (real, cache, 9002 velas)
[10:07:45] [23/232] ALIBABA (real, baj, 7483 velas)
[10:08:29] [24/232] GBPCAD (real, baj, 9002 velas)
[10:08:45] [25/232] BAIDU (real, baj, 3050 velas)
[10:09:17] [26/232] NZDCAD (real, baj, 9002 velas)
[10:09:57] [27/232] EURAUD (real, baj, 9002 velas)
[10:10:32] [28/232] AMAZON (real, baj, 7483 velas)
[10:11:08] [29/232] USDCAD (real, baj, 9002 velas)
[10:11:43] [30/232] INTEL (real, baj, 7484 velas)
[10:11:43] [31/232] NIKE (real, cache, 1400 velas)
[10:11:43] [32/232] MORSTAN (real, cache, 756 velas)
[10:11:44] [33/232] GS (real, cache, 3784 velas)
[10:11:44] [34/232] GBPAUD (real, cache, 9002 velas)
[10:11:44] [35/232] ETHUSD (real, cache, 9000 velas)
[10:11:44] [36/232] AUDNZD (real, cache, 9002 velas)
[10:11:44] [37/232] SNAP (real, cache, 3042 velas)
[10:11:44] [38/232] CADCHF (real, cache, 9002 velas)
[10:11:45] [39/232] MCDON (real, cache, 3042 velas)
[10:11:45] [40/232] FACEBOOK (real, cache, 7470 velas)
[10:11:45] [41/232] USOUSD (real, cache, 9001 velas)
[10:11:45] [42/232] TESLA (real, cache, 7470 velas)
[10:11:45] [43/232] EURCAD (real, cache, 9002 velas)
[10:11:45] [44/232] CHFJPY (real, cache, 9002 velas)
[10:11:46] [45/232] JPM (real, cache, 3042 velas)
[10:11:46] [46/232] NZDJPY (real, cache, 9002 velas)
[10:11:46] [47/232] AIG (real, cache, 3042 velas)
[10:11:46] [48/232] GBPNZD (real, cache, 9002 velas)
[10:11:46] [49/232] XRPUSD (real, cache, 9001 velas)
[10:11:47] [50/232] USDBRL (real, cache, 3452 velas)
[10:11:47] [51/232] AIG-OTC (otc, cache, 9001 velas)
[10:11:47] [52/232] AIRLINES-OTC (otc, cache, 9001 velas)
[10:11:47] [53/232] ALIBABA-OTC (otc, cache, 9001 velas)
[10:11:47] [54/232] AMAZON-OTC (otc, cache, 9001 velas)
[10:11:48] [55/232] AMZN/ALIBABA-OTC (otc, cache, 9001 velas)
[10:11:48] [56/232] AMZN/EBAY-OTC (otc, cache, 9000 velas)
[10:11:48] [57/232] APPLE-OTC (otc, cache, 9000 velas)
[10:11:48] [58/232] ARBUSD-OTC (otc, cache, 9001 velas)
[10:11:48] [59/232] ATOMUSD-OTC (otc, cache, 9001 velas)
[10:11:49] [60/232] AUDCAD-OTC (otc, cache, 9001 velas)
[10:11:49] [61/232] AUDCHF-OTC (otc, cache, 9001 velas)
[10:11:49] [62/232] AUDJPY-OTC (otc, cache, 9001 velas)
[10:11:49] [63/232] AUDNZD-OTC (otc, cache, 9001 velas)
[10:11:49] [64/232] AUDUSD-OTC (otc, cache, 9000 velas)
[10:11:50] [65/232] AUS200-OTC (otc, cache, 9000 velas)
[10:11:50] [66/232] Anthropic-OTC (otc, cache, 8251 velas)
[10:11:50] [67/232] BCHUSD-OTC (otc, cache, 9001 velas)
[10:11:50] [68/232] BIDU-OTC (otc, cache, 9001 velas)
[10:11:51] [69/232] BONKUSD-OTC (otc, cache, 9001 velas)
Asset BTCUSD-OTC not found on consts
Asset BTCUSD-OTC not found on consts
Asset BTCUSD-OTC not found on consts
[10:11:53] [70/232] BTCUSD-OTC (otc): sin datos, salto
[10:11:53] [71/232] CADCHF-OTC (otc, cache, 9001 velas)
[10:11:53] [72/232] CADJPY-OTC (otc, cache, 9001 velas)
[10:11:53] [73/232] CANNABIS-OTC (otc, cache, 9000 velas)
[10:11:53] [74/232] CARDANO-OTC (otc, cache, 9000 velas)
[10:11:53] [75/232] CASINOS-OTC (otc, cache, 9001 velas)
[10:11:54] [76/232] CHFJPY-OTC (otc, cache, 9001 velas)
[10:11:54] [77/232] CHFNOK-OTC (otc, cache, 9001 velas)
[10:11:54] [78/232] CITI-OTC (otc, cache, 9001 velas)
[10:11:54] [79/232] COCOA-OTC (otc, cache, 9001 velas)
[10:11:55] [80/232] COFFEE-OTC (otc, cache, 9001 velas)
[10:11:55] [81/232] COKE-OTC (otc, cache, 9000 velas)
[10:11:55] [82/232] COTTON-OTC (otc, cache, 9000 velas)
[10:11:55] [83/232] DASHUSD-OTC (otc, cache, 9001 velas)
[10:11:55] [84/232] DOTUSD-OTC (otc, cache, 9001 velas)
[10:11:56] [85/232] DYDXUSD-OTC (otc, cache, 9001 velas)
[10:11:56] [86/232] EOSUSD-OTC (otc, cache, 9001 velas)
[10:11:56] [87/232] ETHBTC-OTC (otc, cache, 9001 velas)
[10:11:56] [88/232] ETHUSD-OTC (otc, cache, 9001 velas)
[10:11:56] [89/232] EU50-OTC (otc, cache, 9000 velas)
[10:11:57] [90/232] EURAUD-OTC (otc, cache, 9000 velas)
[10:11:57] [91/232] EURCAD-OTC (otc, cache, 9001 velas)
[10:11:57] [92/232] EURCHF-OTC (otc, cache, 9001 velas)
[10:11:57] [93/232] EURGBP-OTC (otc, cache, 9001 velas)
[10:11:57] [94/232] EURJPY-OTC (otc, cache, 9001 velas)
[10:11:58] [95/232] EURNZD-OTC (otc, cache, 9001 velas)
[10:11:58] [96/232] EURTHB-OTC (otc, cache, 9001 velas)
[10:11:58] [97/232] EURUSD-OTC (otc, cache, 9000 velas)
[10:11:59] [98/232] FARTCOINUSD-OTC (otc, cache, 9000 velas)
[10:11:59] [99/232] FB-OTC (otc, cache, 9001 velas)
[10:11:59] [100/232] FETUSD-OTC (otc, cache, 9001 velas)
[10:11:59] [101/232] FLOKIUSD-OTC (otc, cache, 9001 velas)
[10:11:59] [102/232] FR40-OTC (otc, cache, 9001 velas)
[10:12:00] [103/232] FWONA-OTC (otc, cache, 9001 velas)
[10:12:00] [104/232] GBPAUD-OTC (otc, cache, 9001 velas)
[10:12:00] [105/232] GBPCAD-OTC (otc, cache, 9001 velas)
[10:12:00] [106/232] GBPCHF-OTC (otc, cache, 9000 velas)
[10:12:01] [107/232] GBPJPY-OTC (otc, cache, 9001 velas)
[10:12:01] [108/232] GBPNZD-OTC (otc, cache, 9001 velas)
[10:12:01] [109/232] GBPUSD-OTC (otc, cache, 9001 velas)
[10:12:01] [110/232] GER30-OTC (otc, cache, 9001 velas)
[10:12:01] [111/232] GER30/UK100-OTC (otc, cache, 9001 velas)
[10:12:02] [112/232] GEV-OTC (otc, cache, 9001 velas)
[10:12:02] [113/232] GOOGLE-OTC (otc, cache, 9001 velas)
[10:12:02] [114/232] GOOGLE/MSFT-OTC (otc, cache, 9000 velas)
[10:12:02] [115/232] GRTUSD-OTC (otc, cache, 9000 velas)
[10:12:02] [116/232] GS-OTC (otc, cache, 9001 velas)
[10:12:03] [117/232] HBARUSD-OTC (otc, cache, 9001 velas)
[10:12:03] [118/232] HK33-OTC (otc, cache, 9001 velas)
[10:12:03] [119/232] HYPE-OTC (otc, cache, 9001 velas)
[10:12:03] [120/232] ICPUSD-OTC (otc, cache, 9001 velas)
[10:12:45] [121/232] IMXUSD-OTC (otc, baj, 9001 velas)
[10:13:24] [122/232] INJUSD-OTC (otc, baj, 9001 velas)
[10:13:59] [123/232] INTEL-OTC (otc, baj, 9001 velas)
[10:14:34] [124/232] INTEL/IBM-OTC (otc, baj, 9001 velas)
[10:15:15] [125/232] IOTAUSD-OTC (otc, baj, 9000 velas)
[10:16:10] [126/232] JP225-OTC (otc, baj, 9001 velas)
[10:16:51] [127/232] JPM-OTC (otc, baj, 9001 velas)
[10:17:31] [128/232] JPYTHB-OTC (otc, baj, 9001 velas)
[10:18:12] [129/232] JUPUSD-OTC (otc, baj, 9001 velas)
[10:18:52] [130/232] KLARNA-OTC (otc, baj, 9001 velas)
[10:19:34] [131/232] LABUBUUSD-OTC (otc, baj, 9001 velas)
[10:20:14] [132/232] LINKUSD-OTC (otc, baj, 9000 velas)
[10:20:50] [133/232] LTCUSD-OTC (otc, baj, 9001 velas)
[10:21:24] [134/232] LUNA-OTC (otc, baj, 9001 velas)
[10:22:06] [135/232] MAGNIFICENT7-OTC (otc, baj, 9001 velas)
[10:22:47] [136/232] MANAUSD-OTC (otc, baj, 9001 velas)
[10:23:31] [137/232] MATICUSD-OTC (otc, baj, 9001 velas)
[10:24:13] [138/232] MCDON-OTC (otc, baj, 9001 velas)
[10:24:56] [139/232] MELANIAUSD-OTC (otc, baj, 9000 velas)
[10:25:33] [140/232] META/GOOGLE-OTC (otc, baj, 9000 velas)
[10:26:10] [141/232] MORSTAN-OTC (otc, baj, 9001 velas)
[10:26:58] [142/232] MSFT-OTC (otc, baj, 9001 velas)
[10:27:38] [143/232] MSFT/AAPL-OTC (otc, baj, 9001 velas)
[10:28:17] [144/232] MU-OTC (otc, baj, 9001 velas)
[10:28:55] [145/232] NEARUSD-OTC (otc, baj, 9001 velas)
[10:29:34] [146/232] NFLX/AMZN-OTC (otc, baj, 9001 velas)
[10:30:10] [147/232] NIKE-OTC (otc, baj, 9000 velas)
[10:30:52] [148/232] NOKJPY-OTC (otc, baj, 9001 velas)
